dataset,task_MTS_gen,task_RMTS_gen,task_SD_gen,task_SOSD_gen,task_sym_MTS_gen,task_sym_SD_gen,task_sym_classification_gen
irregular_decagons_color,62.004999999999995,56.37,89.05999999999999,49.58,97.265,50.0,98.955
irregular_hexagons,98.775,97.925,99.285,85.295,88.47,50.0,97.895
normal,99.885,99.57000000000001,99.28,100.0,99.65,50.0,99.885
rigid_decagons_color,51.949999999999996,50.09,77.0,50.11,56.625,50.0,54.964999999999996
rigid_hexagons,84.82,60.27,83.045,70.61,62.845,50.0,81.65
rigid_rectangles,89.11,81.455,99.99,65.94,65.065,50.0,88.72
rigid_triangles_color,58.309999999999995,55.32,95.145,48.010000000000005,51.49,50.0,94.765
smooth_high_fourier,99.75,99.08500000000001,99.295,99.925,99.58500000000001,50.0,99.895
smooth_low_fourier,96.295,82.46,94.61500000000001,84.325,83.325,50.0,94.28
smooth_mid_fourier_color,68.285,55.65,87.655,49.165,95.735,50.0,99.24
symm_color_big,51.49,50.370000000000005,74.935,51.245,56.26,50.0,97.96000000000001
symm_short,56.935,52.16499999999999,80.99499999999999,50.029999999999994,86.78,50.0,95.17999999999999
