dataset,task_MTS_gen,task_RMTS_gen,task_SD_gen,task_SOSD_gen,task_sym_MTS_gen,task_sym_SD_gen,task_sym_classification_gen
irregular_decagons_color,99.955,99.54499999999999,99.375,99.98,99.905,98.72999999999999,99.33999999999999
irregular_hexagons,99.965,99.86,99.59,99.99,99.74,98.75,99.245
normal,99.94,99.855,99.185,100.0,99.98,99.795,99.565
rigid_decagons_color,63.480000000000004,49.645,77.61,58.11500000000001,52.39,51.239999999999995,57.135000000000005
rigid_hexagons,90.615,80.535,86.85000000000001,83.195,87.86,84.78,89.105
rigid_rectangles,94.39,88.29,99.98,91.045,96.485,92.175,94.39
rigid_triangles_color,97.91499999999999,94.81,99.99,97.1,96.065,96.1,96.45
smooth_high_fourier,99.96000000000001,99.83999999999999,99.205,100.0,99.99,99.765,99.495
smooth_low_fourier,99.69,98.83999999999999,98.195,99.79,97.8,94.22,96.89
smooth_mid_fourier_color,99.95,99.36500000000001,99.295,99.97,99.78,99.095,99.435
symm_color_big,99.965,99.53999999999999,98.80499999999999,99.945,73.875,56.985,97.78
symm_short,99.83999999999999,98.265,98.5,99.815,93.405,92.08,92.96
