dataset,task_MTS_gen,task_RMTS_gen,task_SD_gen,task_SOSD_gen,task_sym_MTS_gen,task_sym_SD_gen,task_sym_classification_gen
irregular_decagons_color,99.955,99.54499999999999,99.375,99.98,51.480000000000004,50.0,70.98
irregular_hexagons,99.965,99.86,99.59,99.99,55.165,50.0,79.795
irregular_pentagons_color,99.92,99.46000000000001,99.4,99.94,70.955,50.0,92.49000000000001
normal,99.94,99.855,99.185,100.0,92.955,50.0,94.135
normal_small_radius,99.965,99.86500000000001,99.09,100.0,91.365,50.0,93.415
rigid_decagons_color,63.480000000000004,49.645,77.61,58.11500000000001,49.58,50.0,50.0
rigid_hexagons,90.615,80.535,86.85000000000001,83.195,49.835,50.0,45.48
rigid_rectangles,94.39,88.29,99.98,91.045,56.16,50.0,48.845
rigid_triangles_color,97.91499999999999,94.81,99.99,97.1,55.50000000000001,50.0,49.915
smooth_high_fourier,99.96000000000001,99.83999999999999,99.205,100.0,90.765,50.0,93.92
smooth_low_fourier,99.69,98.83999999999999,98.195,99.79,87.75,50.0,82.58
smooth_mid_fourier_color,99.95,99.36500000000001,99.295,99.97,94.83,50.0,94.545
symm_color_big,99.965,99.53999999999999,98.80499999999999,99.945,50.465,50.0,55.76
symm_short,99.83999999999999,98.265,98.5,99.815,49.669999999999995,50.0,49.995
