dataset,task_MTS_gen,task_RMTS_gen,task_SD_gen,task_SOSD_gen,task_sym_MTS_gen,task_sym_SD_gen,task_sym_classification_gen
irregular_decagons_color,68.11500000000001,88.07000000000001,65.505,49.815,84.935,55.165,83.72500000000001
irregular_hexagons,89.815,98.885,95.82000000000001,49.855,97.135,68.71000000000001,94.595
irregular_pentagons_color,64.92,87.47,66.485,49.635,77.815,50.615,76.655
normal,98.885,99.795,96.95,50.255,99.97500000000001,99.35000000000001,99.885
normal_small_radius,98.995,99.80499999999999,96.75,50.56,99.955,99.16,99.9
rigid_decagons_color,50.425,50.005,54.275,50.015,51.25999999999999,49.995,50.05500000000001
rigid_hexagons,76.685,63.425,77.75999999999999,50.01,78.845,49.504999999999995,76.67500000000001
rigid_rectangles,93.875,87.795,90.125,50.0,87.66000000000001,51.32,87.29
rigid_triangles_color,74.075,79.185,61.035,50.11,62.08,49.915,76.7
smooth_high_fourier,98.89,99.655,96.375,49.885000000000005,99.97,98.94500000000001,99.85000000000001
smooth_low_fourier,98.065,92.27,95.88499999999999,50.205,96.055,66.58500000000001,90.03
smooth_mid_fourier_color,77.51,88.01,65.325,49.845,86.86,57.74,85.92999999999999
symm_color_big,55.125,67.31,59.5,49.964999999999996,68.535,50.845,85.16
symm_short,51.01,69.14,60.07,49.955,74.395,53.305,74.75500000000001
