dataset,task_MTS_gen,task_RMTS_gen,task_SD_gen,task_SOSD_gen,task_sym_MTS_gen,task_sym_SD_gen,task_sym_classification_gen
irregular_decagons_color,99.08,99.89,97.21499999999999,99.91,99.785,99.13499999999999,99.7
irregular_hexagons,99.67,99.935,98.185,99.925,99.64,99.065,99.36500000000001
normal,99.515,99.92999999999999,98.39,99.97,99.765,99.80499999999999,99.94
normal_small_radius,99.55000000000001,99.855,98.275,99.955,99.665,99.735,99.935
rigid_decagons_color,58.56,58.03,70.585,51.085,56.36,50.01,50.0
rigid_hexagons,77.89500000000001,87.095,75.91499999999999,76.56500000000001,90.96499999999999,82.595,90.235
rigid_rectangles,95.895,93.935,99.82,91.46,94.89,88.465,92.85
smooth_high_fourier,99.44,99.86,98.28,99.955,99.82,99.71,99.935
smooth_low_fourier,99.435,99.735,98.625,99.54499999999999,99.105,96.52,97.485
smooth_mid_fourier_color,98.72,99.925,97.64500000000001,99.83,99.74,99.335,99.72999999999999
symm_color_big,99.065,99.795,97.925,99.95,85.49,55.745,96.92
symm_short,94.45,98.57000000000001,93.33500000000001,68.205,96.245,88.52,95.67
