dataset,task_MTS_gen,task_RMTS_gen,task_SD_gen,task_SOSD_gen,task_sym_MTS_gen,task_sym_SD_gen,task_sym_classification_gen
irregular_decagons_color,99.08,99.89,97.21499999999999,99.91,56.574999999999996,50.27,62.08
irregular_hexagons,99.67,99.935,98.185,99.925,68.16,49.85,75.965
irregular_pentagons_color,99.06,99.925,97.25,99.74,94.39999999999999,50.125,95.22500000000001
normal,99.515,99.92999999999999,98.39,99.97,97.28999999999999,50.455000000000005,97.005
normal_small_radius,99.55000000000001,99.855,98.275,99.955,96.30499999999999,50.695,96.83500000000001
rigid_decagons_color,58.56,58.03,70.585,51.085,50.0,50.295,50.0
rigid_hexagons,77.89500000000001,87.095,75.91499999999999,76.56500000000001,51.025,50.27,48.33
rigid_rectangles,95.895,93.935,99.82,91.46,51.519999999999996,49.95,49.565
rigid_triangles_color,97.425,96.925,99.86,95.825,52.93,50.315,50.11
smooth_high_fourier,99.44,99.86,98.28,99.955,90.16,49.89,95.11
smooth_low_fourier,99.435,99.735,98.625,99.54499999999999,91.05,50.28,86.91499999999999
smooth_mid_fourier_color,98.72,99.925,97.64500000000001,99.83,98.11,50.24999999999999,96.75
symm_color_big,99.065,99.795,97.925,99.95,50.075,49.675000000000004,58.24
symm_short,94.45,98.57000000000001,93.33500000000001,68.205,50.2,49.625,50.0
